"requestid","requesttypeid","userid","firstname","lastname","phonenumber","email","status","physicianid","confirmationnumber","createddate","isdeleted","modifieddate","declinedby","isurgentemailsent","lastwellnessdate","ismobile","calltype","completedbyphysician","lastreservationdate","accepteddate","relationname","casenumber","ip","casetag","casetagphysician","patientaccountid","createduserid"
18,2,24,"test1
","test1","9876543210","binal@gmail.com",2,1,NULL,"2024-02-16 14:11:14.091545",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,1,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",1,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",2,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,2,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",3,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,3,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",4,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,3,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",5,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,4,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",6,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,4,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",1,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",1,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",6,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",5,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,3,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",4,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,3,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",3,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,4,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",2,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,4,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",1,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1,24,"TEST2","TEST2","1234567890","TEST2@GMAIL.COM",1,1,NULL,"2024-02-16 00:00:00",NULL,NULL,NULL,"0",NULL,NULL,NULL,"0","1996-12-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
